subset	class_name	label	filename	class_relative_path	dataset_relative_path
train	agricultural	0	agricultural00.tif	agricultural/agricultural00.tif	UCM_50/train/agricultural/agricultural00.tif
train	agricultural	0	agricultural01.tif	agricultural/agricultural01.tif	UCM_50/train/agricultural/agricultural01.tif
train	agricultural	0	agricultural10.tif	agricultural/agricultural10.tif	UCM_50/train/agricultural/agricultural10.tif
train	agricultural	0	agricultural14.tif	agricultural/agricultural14.tif	UCM_50/train/agricultural/agricultural14.tif
train	agricultural	0	agricultural15.tif	agricultural/agricultural15.tif	UCM_50/train/agricultural/agricultural15.tif
train	agricultural	0	agricultural16.tif	agricultural/agricultural16.tif	UCM_50/train/agricultural/agricultural16.tif
train	agricultural	0	agricultural18.tif	agricultural/agricultural18.tif	UCM_50/train/agricultural/agricultural18.tif
train	agricultural	0	agricultural19.tif	agricultural/agricultural19.tif	UCM_50/train/agricultural/agricultural19.tif
train	agricultural	0	agricultural23.tif	agricultural/agricultural23.tif	UCM_50/train/agricultural/agricultural23.tif
train	agricultural	0	agricultural25.tif	agricultural/agricultural25.tif	UCM_50/train/agricultural/agricultural25.tif
train	agricultural	0	agricultural28.tif	agricultural/agricultural28.tif	UCM_50/train/agricultural/agricultural28.tif
train	agricultural	0	agricultural31.tif	agricultural/agricultural31.tif	UCM_50/train/agricultural/agricultural31.tif
train	agricultural	0	agricultural32.tif	agricultural/agricultural32.tif	UCM_50/train/agricultural/agricultural32.tif
train	agricultural	0	agricultural35.tif	agricultural/agricultural35.tif	UCM_50/train/agricultural/agricultural35.tif
train	agricultural	0	agricultural36.tif	agricultural/agricultural36.tif	UCM_50/train/agricultural/agricultural36.tif
train	agricultural	0	agricultural37.tif	agricultural/agricultural37.tif	UCM_50/train/agricultural/agricultural37.tif
train	agricultural	0	agricultural40.tif	agricultural/agricultural40.tif	UCM_50/train/agricultural/agricultural40.tif
train	agricultural	0	agricultural41.tif	agricultural/agricultural41.tif	UCM_50/train/agricultural/agricultural41.tif
train	agricultural	0	agricultural45.tif	agricultural/agricultural45.tif	UCM_50/train/agricultural/agricultural45.tif
train	agricultural	0	agricultural48.tif	agricultural/agricultural48.tif	UCM_50/train/agricultural/agricultural48.tif
train	agricultural	0	agricultural50.tif	agricultural/agricultural50.tif	UCM_50/train/agricultural/agricultural50.tif
train	agricultural	0	agricultural51.tif	agricultural/agricultural51.tif	UCM_50/train/agricultural/agricultural51.tif
train	agricultural	0	agricultural53.tif	agricultural/agricultural53.tif	UCM_50/train/agricultural/agricultural53.tif
train	agricultural	0	agricultural55.tif	agricultural/agricultural55.tif	UCM_50/train/agricultural/agricultural55.tif
train	agricultural	0	agricultural56.tif	agricultural/agricultural56.tif	UCM_50/train/agricultural/agricultural56.tif
train	agricultural	0	agricultural59.tif	agricultural/agricultural59.tif	UCM_50/train/agricultural/agricultural59.tif
train	agricultural	0	agricultural61.tif	agricultural/agricultural61.tif	UCM_50/train/agricultural/agricultural61.tif
