subset	class_name	label	filename	class_relative_path	dataset_relative_path
train	airplane	0	airplane_003.tif	airplane/airplane_003.tif	NWPU45_20/train/airplane/airplane_003.tif
train	airplane	0	airplane_006.tif	airplane/airplane_006.tif	NWPU45_20/train/airplane/airplane_006.tif
train	airplane	0	airplane_009.tif	airplane/airplane_009.tif	NWPU45_20/train/airplane/airplane_009.tif
train	airplane	0	airplane_011.tif	airplane/airplane_011.tif	NWPU45_20/train/airplane/airplane_011.tif
train	airplane	0	airplane_014.tif	airplane/airplane_014.tif	NWPU45_20/train/airplane/airplane_014.tif
train	airplane	0	airplane_015.tif	airplane/airplane_015.tif	NWPU45_20/train/airplane/airplane_015.tif
train	airplane	0	airplane_016.tif	airplane/airplane_016.tif	NWPU45_20/train/airplane/airplane_016.tif
train	airplane	0	airplane_025.tif	airplane/airplane_025.tif	NWPU45_20/train/airplane/airplane_025.tif
train	airplane	0	airplane_029.tif	airplane/airplane_029.tif	NWPU45_20/train/airplane/airplane_029.tif
train	airplane	0	airplane_034.tif	airplane/airplane_034.tif	NWPU45_20/train/airplane/airplane_034.tif
train	airplane	0	airplane_040.tif	airplane/airplane_040.tif	NWPU45_20/train/airplane/airplane_040.tif
train	airplane	0	airplane_041.tif	airplane/airplane_041.tif	NWPU45_20/train/airplane/airplane_041.tif
train	airplane	0	airplane_043.tif	airplane/airplane_043.tif	NWPU45_20/train/airplane/airplane_043.tif
train	airplane	0	airplane_057.tif	airplane/airplane_057.tif	NWPU45_20/train/airplane/airplane_057.tif
train	airplane	0	airplane_059.tif	airplane/airplane_059.tif	NWPU45_20/train/airplane/airplane_059.tif
train	airplane	0	airplane_064.tif	airplane/airplane_064.tif	NWPU45_20/train/airplane/airplane_064.tif
train	airplane	0	airplane_065.tif	airplane/airplane_065.tif	NWPU45_20/train/airplane/airplane_065.tif
train	airplane	0	airplane_070.tif	airplane/airplane_070.tif	NWPU45_20/train/airplane/airplane_070.tif
train	airplane	0	airplane_075.tif	airplane/airplane_075.tif	NWPU45_20/train/airplane/airplane_075.tif
train	airplane	0	airplane_079.tif	airplane/airplane_079.tif	NWPU45_20/train/airplane/airplane_079.tif
train	airplane	0	airplane_087.tif	airplane/airplane_087.tif	NWPU45_20/train/airplane/airplane_087.tif
train	airplane	0	airplane_093.tif	airplane/airplane_093.tif	NWPU45_20/train/airplane/airplane_093.tif
