subset	class_name	label	filename	class_relative_path	dataset_relative_path
train	Airport	0	airport_1.tif	Airport/airport_1.tif	AID_50/train/Airport/airport_1.tif
train	Airport	0	airport_102.tif	Airport/airport_102.tif	AID_50/train/Airport/airport_102.tif
train	Airport	0	airport_103.tif	Airport/airport_103.tif	AID_50/train/Airport/airport_103.tif
train	Airport	0	airport_105.tif	Airport/airport_105.tif	AID_50/train/Airport/airport_105.tif
train	Airport	0	airport_106.tif	Airport/airport_106.tif	AID_50/train/Airport/airport_106.tif
train	Airport	0	airport_107.tif	Airport/airport_107.tif	AID_50/train/Airport/airport_107.tif
train	Airport	0	airport_108.tif	Airport/airport_108.tif	AID_50/train/Airport/airport_108.tif
train	Airport	0	airport_115.tif	Airport/airport_115.tif	AID_50/train/Airport/airport_115.tif
train	Airport	0	airport_116.tif	Airport/airport_116.tif	AID_50/train/Airport/airport_116.tif
train	Airport	0	airport_117.tif	Airport/airport_117.tif	AID_50/train/Airport/airport_117.tif
train	Airport	0	airport_118.tif	Airport/airport_118.tif	AID_50/train/Airport/airport_118.tif
train	Airport	0	airport_12.tif	Airport/airport_12.tif	AID_50/train/Airport/airport_12.tif
train	Airport	0	airport_125.tif	Airport/airport_125.tif	AID_50/train/Airport/airport_125.tif
train	Airport	0	airport_126.tif	Airport/airport_126.tif	AID_50/train/Airport/airport_126.tif
train	Airport	0	airport_13.tif	Airport/airport_13.tif	AID_50/train/Airport/airport_13.tif
train	Airport	0	airport_131.tif	Airport/airport_131.tif	AID_50/train/Airport/airport_131.tif
train	Airport	0	airport_134.tif	Airport/airport_134.tif	AID_50/train/Airport/airport_134.tif
train	Airport	0	airport_135.tif	Airport/airport_135.tif	AID_50/train/Airport/airport_135.tif
train	Airport	0	airport_137.tif	Airport/airport_137.tif	AID_50/train/Airport/airport_137.tif
train	Airport	0	airport_139.tif	Airport/airport_139.tif	AID_50/train/Airport/airport_139.tif
train	Airport	0	airport_14.tif	Airport/airport_14.tif	AID_50/train/Airport/airport_14.tif
train	Airport	0	airport_140.tif	Airport/airport_140.tif	AID_50/train/Airport/airport_140.tif
train	Airport	0	airport_144.tif	Airport/airport_144.tif	AID_50/train/Airport/airport_144.tif
train	Airport	0	airport_145.tif	Airport/airport_145.tif	AID_50/train/Airport/airport_145.tif
train	Airport	0	airport_146.tif	Airport/airport_146.tif	AID_50/train/Airport/airport_146.tif
train	Airport	0	airport_147.tif	Airport/airport_147.tif	AID_50/train/Airport/airport_147.tif
train	Airport	0	airport_148.tif	Airport/airport_148.tif	AID_50/train/Airport/airport_148.tif
train	Airport	0	airport_150.tif	Airport/airport_150.tif	AID_50/train/Airport/airport_150.tif
train	Airport	0	airport_151.tif	Airport/airport_151.tif	AID_50/train/Airport/airport_151.tif
train	Airport	0	airport_153.tif	Airport/airport_153.tif	AID_50/train/Airport/airport_153.tif
train	Airport	0	airport_154.tif	Airport/airport_154.tif	AID_50/train/Airport/airport_154.tif
train	Airport	0	airport_157.tif	Airport/airport_157.tif	AID_50/train/Airport/airport_157.tif
train	Airport	0	airport_159.tif	Airport/airport_159.tif	AID_50/train/Airport/airport_159.tif
train	Airport	0	airport_16.tif	Airport/airport_16.tif	AID_50/train/Airport/airport_16.tif
train	Airport	0	airport_160.tif	Airport/airport_160.tif	AID_50/train/Airport/airport_160.tif
train	Airport	0	airport_161.tif	Airport/airport_161.tif	AID_50/train/Airport/airport_161.tif
train	Airport	0	airport_162.tif	Airport/airport_162.tif	AID_50/train/Airport/airport_162.tif
train	Airport	0	airport_163.tif	Airport/airport_163.tif	AID_50/train/Airport/airport_163.tif
train	Airport	0	airport_164.tif	Airport/airport_164.tif	AID_50/train/Airport/airport_164.tif
train	Airport	0	airport_165.tif	Airport/airport_165.tif	AID_50/train/Airport/airport_165.tif
train	Airport	0	airport_166.tif	Airport/airport_166.tif	AID_50/train/Airport/airport_166.tif
train	Airport	0	airport_168.tif	Airport/airport_168.tif	AID_50/train/Airport/airport_168.tif
train	Airport	0	airport_169.tif	Airport/airport_169.tif	AID_50/train/Airport/airport_169.tif
train	Airport	0	airport_17.tif	Airport/airport_17.tif	AID_50/train/Airport/airport_17.tif
train	Airport	0	airport_171.tif	Airport/airport_171.tif	AID_50/train/Airport/airport_171.tif
train	Airport	0	airport_172.tif	Airport/airport_172.tif	AID_50/train/Airport/airport_172.tif
train	Airport	0	airport_173.tif	Airport/airport_173.tif	AID_50/train/Airport/airport_173.tif
train	Airport	0	airport_174.tif	Airport/airport_174.tif	AID_50/train/Airport/airport_174.tif
train	Airport	0	airport_176.tif	Airport/airport_176.tif	AID_50/train/Airport/airport_176.tif
train	Airport	0	airport_179.tif	Airport/airport_179.tif	AID_50/train/Airport/airport_179.tif
train	Airport	0	airport_182.tif	Airport/airport_182.tif	AID_50/train/Airport/airport_182.tif
train	Airport	0	airport_183.tif	Airport/airport_183.tif	AID_50/train/Airport/airport_183.tif
train	Airport	0	airport_184.tif	Airport/airport_184.tif	AID_50/train/Airport/airport_184.tif
train	Airport	0	airport_185.tif	Airport/airport_185.tif	AID_50/train/Airport/airport_185.tif
train	Airport	0	airport_186.tif	Airport/airport_186.tif	AID_50/train/Airport/airport_186.tif
train	Airport	0	airport_190.tif	Airport/airport_190.tif	AID_50/train/Airport/airport_190.tif
train	Airport	0	airport_192.tif	Airport/airport_192.tif	AID_50/train/Airport/airport_192.tif
train	Airport	0	airport_193.tif	Airport/airport_193.tif	AID_50/train/Airport/airport_193.tif
train	Airport	0	airport_195.tif	Airport/airport_195.tif	AID_50/train/Airport/airport_195.tif
train	Airport	0	airport_197.tif	Airport/airport_197.tif	AID_50/train/Airport/airport_197.tif
train	Airport	0	airport_199.tif	Airport/airport_199.tif	AID_50/train/Airport/airport_199.tif
train	Airport	0	airport_20.tif	Airport/airport_20.tif	AID_50/train/Airport/airport_20.tif
train	Airport	0	airport_204.tif	Airport/airport_204.tif	AID_50/train/Airport/airport_204.tif
train	Airport	0	airport_206.tif	Airport/airport_206.tif	AID_50/train/Airport/airport_206.tif
train	Airport	0	airport_207.tif	Airport/airport_207.tif	AID_50/train/Airport/airport_207.tif
train	Airport	0	airport_210.tif	Airport/airport_210.tif	AID_50/train/Airport/airport_210.tif
train	Airport	0	airport_211.tif	Airport/airport_211.tif	AID_50/train/Airport/airport_211.tif
train	Airport	0	airport_219.tif	Airport/airport_219.tif	AID_50/train/Airport/airport_219.tif
train	Airport	0	airport_22.tif	Airport/airport_22.tif	AID_50/train/Airport/airport_22.tif
